2-Nov-18,31-Oct-18,22-Sep-18,27-Oct-18,17-Sep-18
0.241,0.279,0.127,0.307,0.337
0.228,0.28,0.145,0.323,0.378
0.211,0.309,0.184,0.351,0.316
0.188,0.335,0.1739,0.34,0.249
0.216,0.302,0.138,0.263,0.2839
0.179,0.2859,0.115,0.222,0.299
0.179,0.271,0.13,0.245,0.227
0.234,0.281,0.111,0.208,0.215
0.197,0.253,0.152,0.237,0.234
0.2039,0.266,0.153,0.263,0.242
0.187,0.302,0.118,0.165,0.257
0.171,0.289,0.113,0.109,0.251
0.162,0.169,0.113,0.089,0.206
0.451,0.48,0.119,0.096,0.641
0.36,0.415,0.118,0.147,0.271
0.235,0.127,0.246,0.159,0.111
0.294,0.201,0.192,0.317,0.1429
0.233,0.149,0.177,0.1729,0.148
0.221,0.157,0.232,0.262,0.121
0.707,0.126,0.327,0.3489,0.131
1.407,0.243,0.309,0.191,0.164
0.557,0.252,0.424,0.237,0.165
0.224,0.149,1.233,0.518,0.457
0.281,0.237,0.414,0.219,0.288
0.262,0.186,0.178,0.405,0.234
0.644,0.161,0.208,0.617,0.288
0.164,0.122,0.19,0.193,0.167
0.13,0.134,0.268,0.169,0.185
0.212,0.193,0.136,0.263,0.209
0.367,0.227,0.082,0.266,0.503
0.539,0.187,0.145,0.309,1.035
0.714,0.357,0.118,0.232,0.327
0.625,0.297,0.157,0.253,0.368
0.43,0.375,0.181,0.275,0.219
0.491,0.2859,0.18,0.217,0.199
0.441,0.225,0.231,0.424,0.163
0.44,0.313,0.524,0.552,0.162
0.5699,0.279,0.956,0.492,0.266
0.826,0.398,0.724,0.351,0.273
0.503,0.259,0.324,0.304,0.651
0.453,0.277,0.281,0.304,0.597
0.496,0.296,0.199,0.3,0.58
0.327,0.371,0.175,0.323,0.456
0.357,0.37,0.145,0.313,0.399
0.215,0.3489,0.1729,0.326,0.491
0.2,0.371,0.219,0.313,0.543
0.217,0.353,0.306,0.314,0.499
0.219,0.319,0.148,0.32,0.461